theme_id,theme_name,theme_category,theme_mechanism,seed_etfs,direct_categories,excluded_categories,company_count_in_seed_csv,fmp_seed_etf_holdings_endpoints,api_generation_rule,default_dashboard_status,created_date
T011,Cybersecurity,Technology / Security,"Cloud migration, AI attack surfaces, identity risk, zero trust, and data-security requirements increase demand for cybersecurity platforms and services.",CIBR;HACK;BUG;IHAK,endpoint security; cloud security; identity security; network security; vulnerability management,generic software with minor security add-ons,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=CIBR;https://financialmodelingprep.com/stable/etf/holdings?symbol=HACK;https://financialmodelingprep.com/stable/etf/holdings?symbol=BUG;https://financialmodelingprep.com/stable/etf/holdings?symbol=IHAK,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T012,Cloud & SaaS Infrastructure,Technology / Cloud,"Enterprise cloud migration, data growth, AI workloads, and software modernization drive demand for cloud platforms, databases, observability, and SaaS infrastructure.",SKYY;CLOU;WCLD,hyperscalers; cloud platforms; databases; observability; SaaS infrastructure,legacy software without cloud growth; unprofitable SaaS with no operating leverage,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=SKYY;https://financialmodelingprep.com/stable/etf/holdings?symbol=CLOU;https://financialmodelingprep.com/stable/etf/holdings?symbol=WCLD,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T013,Enterprise AI Software & Data Platforms,Technology / AI Software,"Enterprise adoption of AI agents, analytics, machine learning operations, and data platforms creates demand for software platforms with real customer adoption and revenue proof.",AIQ;IGV;SKYY,AI platforms; enterprise data platforms; observability; cloud AI; automation software,AI branding without revenue; press-release-only AI microcaps,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=AIQ;https://financialmodelingprep.com/stable/etf/holdings?symbol=IGV;https://financialmodelingprep.com/stable/etf/holdings?symbol=SKYY,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T014,Quantum Computing & Advanced Compute,Technology / Speculative Compute,"Quantum hardware, quantum software, and advanced-compute R&D may create long-term opportunities, but many tickers require strict revenue and dilution validation.",QTUM;ARKQ;IRBO,quantum hardware; quantum software; advanced compute; enabling infrastructure,quantum branding without revenue proof; unrelated tech/advertising businesses,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=QTUM;https://financialmodelingprep.com/stable/etf/holdings?symbol=ARKQ;https://financialmodelingprep.com/stable/etf/holdings?symbol=IRBO,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T015,Fintech & Digital Payments,Financials / Payments,"Digital payments, card networks, merchant acquiring, wallets, BNPL, and emerging-market financial inclusion drive payment-volume and platform revenue growth.",FINX;IPAY;ARKF,card networks; merchant acquirers; payment processors; digital wallets; BNPL; neobanks,banks without payment leverage; crypto-only firms unless payment revenue is material,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=FINX;https://financialmodelingprep.com/stable/etf/holdings?symbol=IPAY;https://financialmodelingprep.com/stable/etf/holdings?symbol=ARKF,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T016,Digital Assets Infrastructure,Financials / Crypto Infrastructure,"Crypto adoption, tokenization, mining economics, custody, exchange activity, and blockchain infrastructure drive revenue for exchanges, miners, brokers, and infrastructure providers.",BITQ;BLOK;BKCH,crypto exchanges; miners; blockchain infrastructure; crypto brokerages; treasury exposure,companies with immaterial crypto exposure,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=BITQ;https://financialmodelingprep.com/stable/etf/holdings?symbol=BLOK;https://financialmodelingprep.com/stable/etf/holdings?symbol=BKCH,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T017,"Defense, Aerospace & Drones",Industrials / Defense,"Geopolitical risk, defense modernization, drone adoption, missile defense, and aerospace procurement drive demand for prime contractors and specialized defense technology companies.",ITA;XAR;PPA,defense primes; aerospace; drones; sensors; missile systems; defense electronics,commercial-only aerospace with no defense exposure,12,https://financialmodelingprep.com/stable/etf/holdings?symbol=ITA;https://financialmodelingprep.com/stable/etf/holdings?symbol=XAR;https://financialmodelingprep.com/stable/etf/holdings?symbol=PPA,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T018,Space & Satellite Infrastructure,Industrials / Space,"Launch cost reduction, satellite communications, Earth observation, space defense, and direct-to-device connectivity drive space infrastructure demand.",UFO;ARKX;ITA,launch; satellites; satellite communications; Earth observation; space defense,space branding without active revenue or contracts,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=UFO;https://financialmodelingprep.com/stable/etf/holdings?symbol=ARKX;https://financialmodelingprep.com/stable/etf/holdings?symbol=ITA,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T019,GLP-1 Obesity & Metabolic Health,Healthcare / Therapeutics,"GLP-1 adoption and metabolic-disease treatment growth drive drug revenue, pipeline value, and second-order effects across healthcare.",IBB;XBI;IHE,obesity drugs; diabetes drugs; metabolic therapeutics; drug-device support,hospitals/food/apparel second-order impacts unless explicitly modeled separately,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=IBB;https://financialmodelingprep.com/stable/etf/holdings?symbol=XBI;https://financialmodelingprep.com/stable/etf/holdings?symbol=IHE,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T020,Biotech Innovation & Genomics,Healthcare / Biotech,"Genetic medicines, rare-disease platforms, oncology innovation, and sequencing tools create drug-development and platform-value opportunities.",XBI;IBB;ARKG,biotech; gene editing; rare disease; genomics tools; sequencing,low-cash-runway biotech without catalyst or financing plan,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=XBI;https://financialmodelingprep.com/stable/etf/holdings?symbol=IBB;https://financialmodelingprep.com/stable/etf/holdings?symbol=ARKG,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T021,Medical Devices & Surgical Robotics,Healthcare / Devices,"Procedure growth, aging demographics, minimally invasive surgery, diabetes monitoring, and medtech innovation drive device revenue and recurring consumables.",IHI;XHE;IHF,medical devices; surgical robotics; diagnostics tools; diabetes devices,pharma-only companies; hospitals unless provider theme,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=IHI;https://financialmodelingprep.com/stable/etf/holdings?symbol=XHE;https://financialmodelingprep.com/stable/etf/holdings?symbol=IHF,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T022,Energy Services & Oilfield,Energy / Services,"Oil and gas capex, offshore activity, drilling intensity, and production maintenance drive demand for oilfield services and equipment.",XLE;OIH;XES,oilfield services; drilling; pressure pumping; offshore services; equipment,integrated oil names unless separate E&P/energy theme,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=XLE;https://financialmodelingprep.com/stable/etf/holdings?symbol=OIH;https://financialmodelingprep.com/stable/etf/holdings?symbol=XES,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T023,LNG & Natural Gas Infrastructure,Energy / Midstream,"Global gas demand, LNG export capacity, pipeline constraints, and energy-security needs drive midstream, LNG terminal, and gas infrastructure economics.",XLE;AMLP;MLPX,LNG terminals; pipelines; midstream; gas transport; gas infrastructure,upstream-only E&P unless gas export exposure is material,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=XLE;https://financialmodelingprep.com/stable/etf/holdings?symbol=AMLP;https://financialmodelingprep.com/stable/etf/holdings?symbol=MLPX,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T024,"Reshoring, Industrials & Infrastructure",Industrials / Infrastructure,"Manufacturing reshoring, infrastructure spending, grid investment, construction activity, and industrial capex drive demand for machinery, materials, engineering, and contractors.",PAVE;XLI;IFRA,construction machinery; engineering; aggregates; infrastructure contractors; industrial suppliers,industrial firms without capex/infrastructure exposure,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=PAVE;https://financialmodelingprep.com/stable/etf/holdings?symbol=XLI;https://financialmodelingprep.com/stable/etf/holdings?symbol=IFRA,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T025,Railroads & Logistics,Industrials / Transportation,"Freight cycles, intermodal growth, supply-chain normalization, and industrial activity affect rail, parcel, trucking, and logistics operators.",IYT;XTN;XLI,railroads; parcel delivery; trucking; logistics brokers; intermodal,consumer travel names; airlines unless separate travel theme,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=IYT;https://financialmodelingprep.com/stable/etf/holdings?symbol=XTN;https://financialmodelingprep.com/stable/etf/holdings?symbol=XLI,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T026,Housing & Home Improvement,Consumer / Housing,"Housing supply, mortgage rates, household formation, repair/remodel demand, and builder backlog drive homebuilders, materials, and home-improvement retailers.",ITB;XHB;PKB,homebuilders; home-improvement retailers; building products; construction materials,commercial real estate; non-housing consumer discretionary,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=ITB;https://financialmodelingprep.com/stable/etf/holdings?symbol=XHB;https://financialmodelingprep.com/stable/etf/holdings?symbol=PKB,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T027,"Banks, Capital Markets & Exchanges",Financials / Capital Markets,"Rate cycles, credit conditions, capital-market activity, trading volumes, and index/data demand affect banks, brokers, asset managers, and exchanges.",XLF;KBE;KRE;IAI,banks; investment banks; asset managers; exchanges; financial data providers,fintech/payments unless separate fintech theme,13,https://financialmodelingprep.com/stable/etf/holdings?symbol=XLF;https://financialmodelingprep.com/stable/etf/holdings?symbol=KBE;https://financialmodelingprep.com/stable/etf/holdings?symbol=KRE;https://financialmodelingprep.com/stable/etf/holdings?symbol=IAI,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T028,Insurance & Reinsurance,Financials / Insurance,"Pricing cycles, catastrophe losses, reserve trends, investment income, and underwriting discipline drive insurers and reinsurers.",KIE;IAK;XLF,property/casualty insurance; life insurance; reinsurance; specialty insurance,banks and asset managers unless insurance revenue is material,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=KIE;https://financialmodelingprep.com/stable/etf/holdings?symbol=IAK;https://financialmodelingprep.com/stable/etf/holdings?symbol=XLF,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T029,Precious Metals & Gold Miners,Materials / Metals,"Gold prices, real rates, currency risk, central-bank demand, and mining cost curves drive gold miners, royalty companies, and silver exposure.",GDX;GDXJ;SIL,gold miners; silver miners; royalty/streaming companies,diversified miners without precious-metal leverage,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=GDX;https://financialmodelingprep.com/stable/etf/holdings?symbol=GDXJ;https://financialmodelingprep.com/stable/etf/holdings?symbol=SIL,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T030,Copper & Electrification Metals,Materials / Electrification,"Electrification, grid buildout, EVs, renewable power, and data-center infrastructure increase demand for copper and diversified metals.",COPX;PICK;XME,copper miners; diversified miners; electrification metals,steel-only names; precious-metals-only names,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=COPX;https://financialmodelingprep.com/stable/etf/holdings?symbol=PICK;https://financialmodelingprep.com/stable/etf/holdings?symbol=XME,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T031,Water Infrastructure & Treatment,Utilities / Infrastructure,"Water scarcity, infrastructure upgrades, treatment requirements, and industrial water demand drive utilities, equipment, testing, and filtration companies.",PHO;FIW;CGW,water utilities; pumps; filtration; testing; treatment equipment,generic utilities without water exposure,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=PHO;https://financialmodelingprep.com/stable/etf/holdings?symbol=FIW;https://financialmodelingprep.com/stable/etf/holdings?symbol=CGW,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T032,Agribusiness & Fertilizer,Materials / Agriculture,"Crop prices, fertilizer pricing, farm income, weather, and food-security trends drive agribusiness, seed, fertilizer, and farm-equipment companies.",MOO;VEGI,fertilizer; seeds; crop protection; agribusiness; farm equipment,food retailers without commodity leverage,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=MOO;https://financialmodelingprep.com/stable/etf/holdings?symbol=VEGI,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T033,"Travel, Leisure & Experience Economy",Consumer / Travel,"Consumer travel demand, lodging rates, cruise recovery, online booking, and airline capacity drive travel and leisure operators.",PEJ;JETS;CRUZ,online travel; hotels; cruises; airlines; leisure platforms,retailers without travel/leisure exposure,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=PEJ;https://financialmodelingprep.com/stable/etf/holdings?symbol=JETS;https://financialmodelingprep.com/stable/etf/holdings?symbol=CRUZ,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T034,Consumer Staples & Pricing Power,Consumer / Staples,"Brand strength, pricing power, retail scale, and defensive consumption patterns drive consumer staples and large-format retail resilience.",XLP;VDC;PBJ,staples brands; beverages; household products; discount/large-format retail; packaged food,discretionary retailers without staples exposure,11,https://financialmodelingprep.com/stable/etf/holdings?symbol=XLP;https://financialmodelingprep.com/stable/etf/holdings?symbol=VDC;https://financialmodelingprep.com/stable/etf/holdings?symbol=PBJ,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
T035,Video Games & Digital Entertainment,Communication Services / Gaming,"Gaming engagement, digital content, live services, streaming, and interactive entertainment drive publishers, platforms, and digital media companies.",HERO;ESPO;BETZ,game publishers; gaming platforms; digital entertainment; streaming media,hardware-only electronics with immaterial gaming economics,10,https://financialmodelingprep.com/stable/etf/holdings?symbol=HERO;https://financialmodelingprep.com/stable/etf/holdings?symbol=ESPO;https://financialmodelingprep.com/stable/etf/holdings?symbol=BETZ,"Start with seed ETF holdings + FMP company screener + Massive active common/ADR universe; then apply AlphaTrend exposure, fundamentals, price, liquidity, and dilution gates.",neutral_until_scored,2026-05-08
